Time,Flow,Throughput(Kbps),LossRate(%),AvgDelay(ms)
1
2
3,192.168.1.1->192.168.2.1,0,100,0,192.168.2.1->192.168.3.1,0,100,0
4,192.168.1.1->192.168.2.1,0,100,0,192.168.2.1->192.168.3.1,0,100,0
5,192.168.1.1->192.168.2.1,0,100,0,192.168.2.1->192.168.3.1,0,100,0
6,192.168.1.1->192.168.2.1,0,100,0,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
7,192.168.1.1->192.168.2.1,599.969,88.0328,4.64167,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
8,192.168.1.1->192.168.2.1,1002.69,73.3607,4.5722,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
9,192.168.1.1->192.168.2.1,1002.69,62.8806,4.5562,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
10,192.168.1.1->192.168.2.1,1010.91,54.918,4.54905,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
11,192.168.1.1->192.168.2.1,1002.69,48.816,4.54507,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
12,192.168.1.1->192.168.2.1,1002.69,43.9344,4.54249,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
13,192.168.1.1->192.168.2.1,1002.69,39.9404,4.54118,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
14,192.168.1.1->192.168.2.1,1002.69,36.612,4.53979,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
15,192.168.1.1->192.168.2.1,1002.69,33.7957,4.53873,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
16,192.168.1.1->192.168.2.1,1002.69,31.3817,4.53788,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
17,192.168.1.1->192.168.2.1,1002.69,29.3282,4.53731,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
18,192.168.1.1->192.168.2.1,1002.69,27.4962,4.53674,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
19,192.168.1.1->192.168.2.1,1002.69,25.8795,4.53625,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
20,192.168.1.1->192.168.2.1,1002.69,24.4424,4.53584,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
21,192.168.1.1->192.168.2.1,1002.69,23.1565,4.53563,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
22,192.168.1.1->192.168.2.1,1002.69,21.9992,4.53531,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
23,192.168.1.1->192.168.2.1,1002.69,20.952,4.53558,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
24,192.168.1.1->192.168.2.1,1002.69,20,4.5353,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
25,192.168.1.1->192.168.2.1,1010.91,19.0951,4.536,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
26,192.168.1.1->192.168.2.1,1002.69,18.2998,4.53572,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
27,192.168.1.1->192.168.2.1,1002.69,17.568,4.53548,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
28,192.168.1.1->192.168.2.1,1002.69,16.8925,4.53525,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
29,192.168.1.1->192.168.2.1,1002.69,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
30,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
31,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
32,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
33,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
34,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
35,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
36,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
37,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
38,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
39,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
40,192.168.1.1->192.168.2.1,0,16.2671,4.53515,192.168.2.1->192.168.3.1,0,100,0,192.168.1.2->192.168.3.1,0,100,0
