Time,Throughput_1(Kbps),LossRate_1(%),AvgRTT_1(ms),Jitter_1(ms),Throughput_2(Kbps),LossRate_2(%),AvgRTT_2(ms),Jitter_2(ms),Throughput_3(Kbps),LossRate_3(%),AvgRTT_3(ms),Jitter_3(ms),Throughput_4(Kbps),LossRate_4(%),AvgRTT_4(ms),Jitter_4(ms)
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.59828,0
6.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.56288,0.0354051
7.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.54313,0.0197461
8.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.53651,0.00662712
9.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.53217,0.00433364
10.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.52922,0.00295065
11.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.52675,0.00247665
12.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.52508,0.00166803
13.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.52313,0.00194461
14.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.52209,0.00104423
15.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.52081,0.00127781
16.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.5201,0.000714756
17.1,0,100,0,0,0,100,0,0,0,100,0,0,599.969,0,1.51919,0.000903461
18.1,0,100,0,0,0,100,0,0,0,100,0,0,402.719,0,1.51867,0.000519799
19.1,0,100,0,0,0,100,0,0,0,100,0,0,501.344,0,1.5181,0.000569304
