Time,Throughput_1(Kbps),LossRate_1(%),AvgRTT_1(ms),Jitter_1(ms),Throughput_2(Kbps),LossRate_2(%),AvgRTT_2(ms),Jitter_2(ms),Throughput_3(Kbps),LossRate_3(%),AvgRTT_3(ms),Jitter_3(ms),Throughput_4(Kbps),LossRate_4(%),AvgRTT_4(ms),Jitter_4(ms)
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,369.844,38.3562,78.6078,0,526,12.3288,35.9223,0,369.844,38.3562,105.122,0,591.75,1.36986,4.2127,0
6.1,509.562,12.2951,133.427,54.8191,460.25,1.63934,48.9889,13.0667,599.969,3.27869,205.549,100.427,410.938,0,4.5158,0.303102
7.1,427.375,18.4615,126.503,6.92361,526,5.64103,49.5994,0.610473,419.156,13.3333,175.77,29.7793,591.75,0.512821,4.73036,0.214562
8.1,575.312,6.14754,170.585,44.082,476.688,0.819672,62.7275,13.1281,583.531,1.63934,204.545,28.7752,410.938,0,4.68883,0.0415287
9.1,402.719,12.3028,162.746,7.83909,526,3.47003,60.6287,2.09884,394.5,9.14826,189.326,15.2195,591.75,0.315457,4.60052,0.0883107
10.1,599.969,4.09836,184.613,21.8672,476.688,0.546448,65.2392,4.61054,608.188,1.0929,211.559,22.2335,410.938,0,4.5977,0.00282026
11.1,427.375,8.20046,173.426,11.1879,526,2.50569,62.6542,2.58496,419.156,5.92255,197.201,14.3577,591.75,0.22779,4.7516,0.153896
12.1,575.312,3.07377,186.586,13.1603,476.688,0.409836,66.5155,3.8612,583.531,0.819672,209.709,12.5072,410.938,0,4.72946,0.0221411
13.1,369.844,7.66488,180.73,5.85563,509.562,2.31729,65.2954,1.22005,394.5,5.16934,201.659,8.04978,599.969,0,4.69829,0.0311683
14.1,632.844,2.45902,196.267,15.5365,493.125,0.327869,70.3037,5.00832,608.188,0.655738,212.937,11.2785,402.719,0,4.74618,0.0478932
15.1,410.938,5.56369,188.243,8.02342,509.562,1.90337,68.9361,1.36762,427.375,3.66032,203.244,9.69315,599.969,0,4.7533,0.00711858
16.1,591.75,2.04918,204.614,16.3709,493.125,0.273224,71.9577,3.02156,575.312,0.546448,218.365,15.121,402.719,0,4.99405,0.240749
17.1,452.031,4.09938,197.095,7.51963,526,1.36646,70.1159,1.84177,452.031,2.73292,210.068,8.29745,599.969,0,5.18116,0.18711
18.1,550.656,1.75644,197.182,0.0877491,476.688,0.234192,71.8476,1.73166,550.656,0.468384,209.701,0.367138,402.719,0,5.31679,0.135629
19.1,443.812,2.40437,191.023,6.15958,501.344,0.218579,70.5705,1.27707,452.031,1.0929,202.285,7.41546,501.344,0,5.27836,0.0384253
